reg,zona,pacto,partido,cupo,orden,nombre,nombre_full,edad,sexo,profesion,web,x,facebook,instagram,tiktok,texto,cargos,elecciones,tag,foto,id_foto,patrimonio
II,6003,K,PNL,PNL,85,Adriana Jiménez,Adriana de Lourdes Jiménez Retamal,56,M,Ingeniera Civil Industrial,adrianajimenez.cl,AdryChilena,adriana.jimenez.51832,adriana_jimenez_diputada,adriana_jimenez_diputada,Ingeniera Civil Industrial de la U. de Antofagasta. Ha desarrollado su carrera principalmente en el rubro de las telecomunicaciones.,x,x,N,Y,5078,1504451
II,6003,K,REP,REP,86,Carlo Arqueros,Carlo Alejandro Antonio Arqueros Pizarro,53,H,Ingeniero Comercial,,,,arqueros.diputado,,"Ex candidato a gobernador de Antofagasta. Ingeniero Comercial de la U. Católica del Norte, magíster en Control de Gestión. Asesor de proyectos en minería y servicios. Autor del libro ""Administración de Contratos Mineros"".",x,2024;G;Antofagasta;X;REP;45022;13.92,P,Y,5079,1504784
II,6003,K,REP,REP,87,Silvana Ubillo,Silvana Rosa Ubillo Rojas,49,M,Ingeniera Comercial,silvanaubillo.com,,people/Silvana-Ubillo-Conecta/61550196382786/,silvana_ubillo_antofa,silvana_ubillo_antofa,"Ingeniera Comercial de la U. Católica del Norte, se ha desarrollado en áreas de estrategia y desarrollo emprendedor.",x,x,N,Y,5080,1504061
III,6004,B,FRVS,FRVS,51,Jaime Mulet,Jaime Mulet Martínez,62,H,Abogado,jaimemulet.cl,muletjaime,diputado.jaimemulet,mulet.diputado,,"Es diputado por la región de Atacama. Abogado de la U. Católica, magíster en Administración de Empresas. Participó en las primarias presidenciales del oficialismo.",2018-2025;D;4|1998-2010;D;6,2025;O;P;X;FRVS;37659;2.74|2021;D;4;G;FRVS;8077;8.18|2017;D;4;G;FRVS;9393;10.02|2013;D;6;X;IND;7356;19.35|2009;S;Atacama;X;PRI;18580;17.64|2005;D;6;G;DC;16124;36.82|2001;D;6;G;DC;17378;42.38|1997;D;6;G;DC;12012;30.85,R,Y,5081,1505007
III,6004,B,FRVS,FRVS,52,Carolina Armenakis,Carolina Alejandra Armenakis Daher,51,M,Relacionadora Pública,,,carolina.a.daher,carolinaarmenakis,,"Fue directora del CNCA, seremi de Cultura en Atacama y directora del centro cultural Apacheta de Paipote. Relacionadora Pública del IP Santo Tomás.",2024-2025;E;Cultura-III,2013;R;Copiapó;X;DC;1107;2.08,P,Y,5082,1504395
III,6004,B,IND,FRVS,53,Carlo Pezo,Carlo Felipe Pezo Correa,43,H,Médico Cirujano,,carlopezo,carlo.p.correa,carlo.pezo,,Ex candidato a gobernador de Atacama. Médico Dermatólogo de la U. de Chile. Académico de la Facultad de Medicina de la U. de Atacama. Presidió el Colegio Médico en Atacama.,x,2024;G;Atacama;X;IND;18566;10.80|2021;H;Atacama;X;IND;12025;40.57|2021;G;Atacama;S;IND;27669;30.23|2020;F;Atacama;N;IND;2636;43.52,P,Y,5083,1505660
III,6004,B,FRVS,FRVS,54,Jaime Vargas,Jaime Claudio Vargas Guerra,59,H,,,,jaimevargas.dosmildoce.7,jaimevargasguerra,,Ha sido candidato a alcalde de Copiapó y a consejero regional. Se ha desempeñado como martillero público y liquidador de activos.,x,2024;R;Copiapó;X;FRVS;603;0.60|2021;R;Copiapó;X;FRVS;443;0.72|2017;R;Copiapó;X;FRVS;1124;1.97|2016;A;Copiapó;X;FREP;688;1.75|2013;R;Copiapó;X;IND;799;1.50|2012;A;Copiapó;X;IND;805;1.98|2008;A;Copiapó;X;IND;1384;3.00,P,Y,5084,1505432
III,6004,B,IND,FRVS,55,Julieta Varas,Julieta Kruscaya Varas Silva,51,M,,,,profile.php?id=61577057535142,,,"Dirigenta social enfocada en regularización de viviendas, educación y ayuda humanitaria.",x,x,N,Y,5085,1505369
III,6004,C,IND,PPD,56,Cristián Tapia,Cristián Hernando Tapia Ramos,57,H,Técnico en Administración de Empresas y Finanzas,,,profile.php?id=100060542542368,ctapia_diputado,,Actual diputado por Atacama. Fue alcalde de Vallenar. Técnico en Administración de Empresas y Finanzas del Inacap en Copiapó. Ha sido dirigente sindical en la gran minería del cobre.,2022-2025;D;4|2008-2021;A;Vallenar,2021;D;4;G;IND;6349;6.43|2016;A;Vallenar;G;MASR;6076;36.58|2012;A;Vallenar;G;MAS;7624;44.43|2008;A;Vallenar;G;IND;8189;37.93|2005;D;6;X;IND;4752;10.85,R,Y,5086,1505989
III,6004,C,IND,PPD,57,Carla Matus,Carla Andrea Matus González,40,M,Metalurgista,,,,carlamatusg,,"Ex candidata a core por Copiapó. Técnica Universitaria en Metalurgia en la U. de Atacama. Es cantante lírica, Licenciada en Interpretación Musical de la U. de Chile.",x,2024;R;Copiapó;X;IND;1008;1.00,P,Y,5087,1504609
III,6004,C,PC,PC,58,Ericka Portilla,Ericka Natalia Portilla Barrios,40,M,Abogada,,,,ericka_portilla,,"Fue integrante de la Convención Constitucional. Ex gobernadora de Copiapó, fue Seremi de Transportes. Abogada de la U. de Atacama, magíster en Derecho. Ha sido académica universitaria.",2021-2022;V;4|2016-2018;O;Copiapó|2014-2016;E;Transportes-III,2021;V;4;G;PC;10175;12.35,P,Y,5088,1505362
III,6004,C,PC,PC,59,Pablo Zenteno,Pablo Marcial Zenteno Muñoz,41,H,Abogado,,pzenteno01,pablo.zenteno.56,pablozenteno01,,"Ex Seremi de Trabajo en Atacama, fue director nacional del Trabajo (2022-2025). Abogado de la U. Central, máster en Empleo y Relaciones Laborales.",2017-2022;E;Trabajo-III,x,N,Y,5089,1505813
III,6004,C,IND,PS,60,Pamela Bordones,Rosa Pamela Bordones Olivares,55,M,Geóloga,,,profile.php?id=61581954155445,pamediputada,,Dirigente sindical en el rubro minero. Geóloga de la U. Católica del Norte.,x,x,N,Y,5090,1505100
III,6004,C,PS,PS,61,Juan Santana,Juan Rubén Santana Castillo,36,H,Periodista,,Juan_SantanaC,DiputadoJuanSantana,juansantanacastillo,,"Es diputado por el Distrito 4 de Atacama desde el 2018, ex consejero regional de Atacama. Periodista de la U. de Chile, fue dirigente estudiantil. ",2018-2025;D;4|2014-2016;R;Huasco,2021;D;4;G;PS;13497;13.67|2017;D;4;G;PS;6245;6.66|2013;R;Huasco;G;PS;4791;18.67,R,Y,5091,1504773
III,6004,H,POP,POP,62,Inti Salamanca,Inti Eleodoro Salamanca Fernández,43,H,Abogado,,,inti.salamanca,intisalamanca_diputado_atacama,,Ex candidato a gobernador de Atacama y a alcalde de Copiapó. Abogado de la U. Arcis.,x,2024;G;Atacama;X;POP;16730;9.73|2021;D;4;X;COM;5465;5.53|2021;A;Copiapó;X;COM;9442;21.49|2017;D;4;X;POD;6231;6.65|2017;E;4;N;POD;4155;44.08|2016;A;Copiapó;X;IND;2659;6.78,O,Y,5092,1505957
III,6004,H,POP,POP,63,Joana Barrios,Joana Andrea Barrios Páez,49,M,Técnica en Enfermería,,,,,,Ex candidata a alcadesa de Copiapó. Dirigenta social. Paramédica del SS Atacama. Es parte del movimiento Recuperemos Copiapó.,x,2024;A;Copiapó;X;POP;6416;6.55|2021;R;Copiapó;X;FRVS;593;0.97|2021;C;Copiapó;X;FRVS;1069;2.54,P,Y,5093,1505907
III,6004,H,POP,POP,64,Jorge Varas,Jorge David Varas Henríquez,63,H,Técnico Electricista Industrial,,,,,,Ex candidato a concejal de Caldera y a core por Copiapó.,x,2024;C;Caldera;X;POP;89;0.76|2021;R;Copiapó;X;IND;113;0.18|2021;C;Caldera;X;IND;132;1.90,P,Y,5094,1504664
III,6004,H,POP,POP,65,Marcelo Ruiz-Tagle,Marcelo Ismael Ruiz-Tagle Escobar,53,H,Técnico en Fotografía Publicitaria,,,marcelo.ruiztagleescobar,marcelo_ruiz_tagle_diputado,,Fue candidato a core por Huasco y a concejal de Freirina. Fotógrafo y gestor cultural.,x,2024;R;Huasco;X;POP;860;1.96|2021;C;Freirina;X;PR;7;0.23,P,Y,5095,1504037
III,6004,H,POP,POP,66,Oscar Núñez,Oscar Alejandro Núñez Veneros,34,H,,,,,,,Ex candidato a concejal por Caldera.,x,2024;C;Caldera;X;POP;66;0.56,P,Y,5096,1505900
III,6004,I,PDG,PDG,67,Paula Olmos,Paula Andrea Olmos Contreras,43,M,,,,olmoscontreras,paulaolmoscontreras,,Fue candidata a diputada y a concejala de Diego de Almagro.,x,2021;D;4;X;PDG;4365;4.42|2012;C;Diego de Almagro;X;IND;84;1.63,O,Y,5097,1506270
III,6004,I,PDG,PDG,68,Jessica Liquitay,Jessica Alejandra Liquitay Martínez,36,M,,,,jessica.liquitay.martinez,jessiliquitay,,"Ha sido secretaria ejecutiva del PDG en Atacama, es ex campeona regional de halterofilia, representó a Chile en el extranjero en esa disciplina. Ex candidata al Consejo Constitucional.",x,2024;R;Copiapó;X;PDG;2289;2.26|2023;J;Atacama;X;PDG;2941;2.15,P,Y,5098,1504522
III,6004,I,PDG,PDG,69,Alex Farías,Alex Alejandro Farías Pérez,53,H,Abogado,,,lexabogado,alexfariasp,,"Ex candidato a gobernador de Atacama. Abogado de la U. Bernardo O'Higgins, magíster en Derecho Procesal y Litigación Jurídica.",x,2024;G;Atacama;X;PDG;12043;7.01|2021;D;4;X;PDG;1226;1.24,O,Y,5099,1505909
III,6004,I,PDG,PDG,70,Francisco Vargas,Francisco Javier Vargas Mery,36,H,,,,francisco.vargas.mery,franciscovmery,,"Voluntario de bomberos, es funcionario en un banco en Huasco.",x,x,N,Y,5100,1505130
III,6004,I,PDG,PDG,71,Héctor Vergara,Héctor Raúl Vergara Seura,37,H,Asistente Social,,,profile.php?id=61578898981767,hector.vs26,,,x,x,N,Y,5101,1504245
III,6004,J,RN,RN,72,Maximiliano Barrionuevo,Maximiliano Alberto Barrionuevo García,38,H,Arquitecto,,,maxbarrionuevocopiapo,barrionuevo_diputado,,"Ex core por Atacama, fue candidato a alcalde de Copiapó. Arquitecto de la U. Andrés Bello, magíster en Diseño Arquitectónico.",2022-2024;R;Atacama,2024;A;Copiapó;X;RN;30169;30.78|2021;R;Copiapó;G;RN;1847;3.02|2021;A;Copiapó;X;IND;10406;23.68|2020;Z;Copiapó;N;IND;939;29.39,P,Y,5102,1504429
